Movie Name,Date,Picked By,Phill Score,Jim Score,Jon Score ,Avg Rating,Release Year,IMDB Link,5 Star Rating,,,1242,1418,1286
Daddy's Home 2,12/20/2022,Jon,7,7,8,7,2017,,,No,,,,
The Man Who Came To Dinner,12/26/2022,Phill,7,5,5,6,1942,,,No,,,,
Four Rooms,1/3/2023,Jim,7,9,7,8,1995,,,No,,,,
Sorcerer's Apprentice,1/10/2023,Jon,8,9,9,9,2010,,,No,,,,
The Old Way,1/17/23,Phill,6,7,7,7,2023,,,No,,,,
Amos and Andrew,1/24/2023,Jim,5,6,6,6,1993,,,No,,,,
Caveat,1/31/2023,Jon,5,4,5,5,2020,,,No,,,,
Bad Times at the El Royale ,2/7/2023,Phill,5,8,6,6,2018,,,No,,,,
If Looks could Kill,2/14/2023,Jim,6,7,6,6,1991,,,No,,,,
Donnys Bar Mitzvah,2/21/2023,Jon,3,8,6,6,2021,,,No,,,,
Batman and Superman Battle of the Super Sons,2/28/2023,Phill,7,7,6,7,2022,,,No,,,,
Spies like us,3/7/2023,Jim,8,9,8,8,1985,,,No,,,,
The Whale,3/14/2023,Jon,8,7,8,8,2022,,,No,,,,
Hot Tub Time Machine,3/21/2023,Phill,6,8,8,7,2010,,,No,,,,
Barbarian,3/28/2023,Jim,7,9,6,7,2022,,,No,,,,
Wrong Cops,4/4/2023,Jon,6,5,6,6,2013,,,No,,,,
Tetris,4/11/2023,Phill,8,8,9,8,2023,,,No,,,,
Critters 2: The Main Course,4/18/2023,Jim,4,7,6,6,1988,,,No,,,,
Be Kind Rewind,4/25/2023,Jon,5,4,5,5,2008,,,No,,,,
The Equalizer,5/2/2023,Phill,8,7,10,8,2014,,,No,,,,
Renfield,5/9/2023,Jim,8,9,7,8,2023,,,No,,,,
Wizards,5/16/2023,Jon,6,6,6,6,1977,,,Yes,,,,
Last Looks,5/23/2023,Phill,8,7,7,7,2021,,,No,,,,
The In-laws,5/30/2023,Jim,7,8,7,7,1979,,,No,,,,
Sisu,6/6/2023,Jon,9,8,9,9,2022,,,No,,,,
Extraction,6/13/2023,Phill,7,7,6,7,2020,,,No,,,,
Day Shift,6/20/2023,Jim,6,8,7,7,2022,,,No,,,,
Becky,6/27/2023,Jon,7,8,8,8,2020,,,No,,,,
Demon Wind,Jon's Birthday,Jon,3,7,7,6,1990,,,No,,,,
Suicide Kings,Phill's Birthday,Phill,6,7,6,6,1997,,,No,,,,
Payback,7/4/2023,Phill,9,7,7,8,1999,,,No,,,,
Grosse Point Blank,7/11/2023,Jim,10,9,7,9,1997,,,No,,,,
Movie 43,7/18/2023,Jon,8,9,9,9,2013,,,No,,,,
American Sniper,7/25/2023,Phill,6,2,5,4,2014,,,No,,,,
Pee Wee's Big Adventure,8/1/2023,Jim,8,10,8,9,1985,,,No,,,,
Sympathy for the Devil,8/8/2023,Jon,6,7,6,6,2023,,,No,,,,
The Machine,8/15/2023,Phill,6,5,5,5,2023,,,No,,,,
Hollywood Dreams and Nightmares: The Robert Englund Story,8/22/2023,Jim,3,7,5,5,2023,,,No,,,,
O.C. and Stiggs,8/29/2023,Jon,3,7,5,5,1987,,,No,,,,
The Illusionist ,9/5/2023,Phill,6,6,7,6,,,,No,,,,
The Brood,9/12/2023,Jim,4,8,3,5,,,,No,,,,
The Skateboard Kid,9/19/2023,Jon,4,9,8,7,,,,No,,,,
The Gentlemen ,9/26/2023,Phill,9,9,6,8,,,,No,,,,
Fright Night,10/2/2023,Jim,7,9,9,8,,,,No,,,,
"3 Beds , 2 Baths, 1 Ghost",10/9/2023,Jon,6,3,6,5,,,,No,,,,
Poltergeist ,10/17/2023,Phill,7,8,8,8,,,,No,,,,
The Howling ,10/24/2023,Jim,6,9,6,7,,,,No,,,,
Cobweb,10/31/2023,Jon,7,7,7,7,2023,,,Yes,,,,
Wind River,11/7/2023,Phill,8,6,7,7,,,,No,,,,
Zombie Town,11/172023,Jim,4,5,3,4,,,,No,,,,
Sleepaway Camp,11/21/2023,Jon ,7,8,8,8,,,,No,,,,
When Harry Met Sally,11/28/2023,Phill,8,5,4,6,,,,No,,,,
Mixed Nuts,12/5/2023,Jim,5,7,6,6,,,,No,,,,
"Its a Mad, Mad, Mad, Mad, Mad World!",Jims Bday,Jim,2,7,3,4,,,,No,,,,
"Christmas, Again",12/12/2023,Jon,3,3,4,3,2014,,,No,,,,
Scrooged ,12/19/2023,Phill,8,10,9,9,,,,No,,,,
Mrs. Santa Clause,12/26/2023,Jim,6,7,6,6,,,,No,,,,
Dream Scenario,1/2/2024,Jon,7,8,8,8,,,,No,,,,
The Protege,1/9/2024,Phill,6,4,6,5,,,,No,,,,
The Boogeyman,1/16/2024,Jim,6,8,7,7,,,,No,,,,
School Spirit,1/23/2024,Jon,5,6,8,6,,,,No,,,,
Licorice Pizza,1/30/2024,Phill,6,5,5,5,2021,,,No,,,,
Skullduggery ,2/6/2024,Jim,3,5,2,3,,,,No,,,,
Heart and Souls,2/13/2024,Jon,7,7,10,8,,,,No,,,,
Death on the Nile,2/20/2024,Phill,5,4,3,4,,,,Yes,,,,
The In-Laws,2/27/2024,Jim,5,7,5,6,,,,No,,,,
Quigley,3/5/2024,Jon,3,3,3,3,,,,Yes,,,,
Dead Shot,3/11/2024,Phill,4,4,3,4,,,,No,,,,
Leprechaun ,3/19/2024,Jim ,6,9,8,8,,,,No,,,,
Bad Boy Bubby,3/26/2024,Jon,3,6,3,4,,,,No,,,,
Run,4/2/2024,Phill,7,7,7,7,2020,,,Yes,,,,
Mother's Day,4/9/2024,Jim,3,7,5,5,,,,No,,,,
Sweet Dreams,4/16/2024,Jon,6,6,7,6,2024,,,No,,,,
Mega Time Squad,4/23/2024,Phill,,,,0,,,,,,,,
The Dukes of Hazard,4/30/2024,Jim,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
