Movie Name,Date,Picked By,Phill Score,Jim Score,Jon Score ,Avg Rating,Release Year,1333,@,TMDB_ID,Overview,Genres,Release Date,Vote Average,Vote Count,TMDb Link
Scavenger Hunt,Jim's Bday,jim,6.0,6.0,4.0,5,1979.0,,,23050,"An eccentric games inventor dies and leaves behind an inheritance worth hundreds of millions of dollars - which will only be given to the person or team, amongst his family and hired help, who wins a madcap scavenger hunt.",Comedy,1979-12-21,5.7,32,https://www.themoviedb.org/movie/23050
Fred Claus,12/6/2022,phill,7.0,7.0,9.0,8,2007.0,,,5375,"Fred Claus and Santa Claus have been estranged brothers for many years. Now Fred must reconcile his differences with his brother whom he believes overshadows him. When an efficiency expert assesses the workings at the North Pole and threatens to shut Santa down, Fred must help his brother to save Christmas.","Action, Comedy, Drama",2007-11-09,5.794,814,https://www.themoviedb.org/movie/5375
The Night They Saved Christmas,12/13/2022,jim,6.0,9.0,7.0,7,1984.0,,,40934,"An oil company is exploring two Arctic sites for oil. The needed blasting at the first site rocks Santa Claus' North Pole village. He realizes that any blasting at the second site will destroy his home. He enlists the aid of a woman and her children to convince her husband (who works for the company) that the first site is where the oil they want is. Along the way, Santa explains all his secrets in delivering presents all around the world.","Drama, Family",1984-12-13,5.816,19,https://www.themoviedb.org/movie/40934
Daddy's Home 2,12/20/2022,jon,7.0,7.0,8.0,7,2017.0,,,419680,Brad and Dusty must deal with their intrusive fathers during the holidays.,Comedy,2017-11-09,6.293,2456,https://www.themoviedb.org/movie/419680
The Man Who Came To Dinner,12/26/2022,phill,7.0,5.0,5.0,6,1942.0,,,26319,An acerbic critic wreaks havoc when a hip injury forces him to move in indefinitely with a Midwestern family.,"Comedy, Romance",1941-12-24,6.8,72,https://www.themoviedb.org/movie/26319
Four Rooms,1/3/2023,jim,7.0,9.0,7.0,8,1995.0,,,5,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,Comedy,1995-12-09,5.83,2579,https://www.themoviedb.org/movie/5
Sorcerer's Apprentice,1/10/2023,jon,8.0,9.0,9.0,9,2010.0,,,8128,"Krabat, a beggar boy, is lured to become an apprentice to an evil, one-eyed sorcerer. With a number of other boys, he works at the sorcerer's mill while learning black magic. Every Christmas one of the boys has to face the master in a magical duel, where the boy never stands a chance because the master is the only person who is allowed to use a secret spell: The Koraktor.","Animation, Fantasy",1978-03-01,7.3,38,https://www.themoviedb.org/movie/8128
The Old Way,1/17/23,phill,6.0,7.0,7.0,7,2023.0,,,872954,"An old gunslinger and his daughter must face the consequences of his past, when the son of a man he killed years ago arrives to take his revenge.","Western, Drama",2023-01-06,5.9,193,https://www.themoviedb.org/movie/872954
Amos and Andrew,1/24/2023,jim,5.0,6.0,6.0,6,1993.0,,,31000,"When Andrew Sterling, a successful black urbanite writer, buys a vacation home on a resort in New England the police mistake him for a burglar. After surrounding his home with armed men, Chief Tolliver realizes his mistake and to avoid the bad publicity offers a thief in his jail, Amos Odell a deal.","Action, Comedy",1993-03-05,5.404,148,https://www.themoviedb.org/movie/31000
Caveat,1/31/2023,jon,5.0,4.0,5.0,5,2020.0,,,744746,A lone drifter suffering from partial memory loss accepts a job to look after a psychologically troubled woman in an abandoned house on an isolated island.,"Horror, Mystery",2021-10-20,5.978,91,https://www.themoviedb.org/movie/744746
